# t K U E
0.343 0.844682 23.2349 24.0796
0.344 0.849541 23.23 24.0796
0.345 0.854414 23.2252 24.0796
0.346 0.8593 23.2203 24.0796
0.347 0.8642 23.2154 24.0796
0.348 0.869113 23.2105 24.0796
0.349 0.87404 23.2055 24.0796
0.35 0.878979 23.2006 24.0796
0.351 0.883933 23.1956 24.0796
0.352 0.888899 23.1907 24.0796
0.353 0.893879 23.1857 24.0796
0.354 0.898873 23.1807 24.0796
0.355 0.903879 23.1757 24.0796
0.356 0.908899 23.1707 24.0796
0.357 0.913933 23.1656 24.0796
0.358 0.91898 23.1606 24.0796
0.359 0.92404 23.1555 24.0796
0.36 0.929113 23.1505 24.0796
0.361 0.9342 23.1454 24.0796
0.362 0.9393 23.1403 24.0796
0.363 0.944414 23.1352 24.0796
0.364 0.94954 23.13 24.0796
0.365 0.95468 23.1249 24.0796
0.366 0.959834 23.1197 24.0796
0.367 0.965 23.1146 24.0796
0.368 0.97018 23.1094 24.0796
0.369 0.975374 23.1042 24.0796
0.37 0.98058 23.099 24.0796
0.371 0.9858 23.0938 24.0796
0.372 0.991033 23.0885 24.0796
0.373 0.996279 23.0833 24.0796
0.374 1.00154 23.078 24.0796
0.375 1.00681 23.0728 24.0796
0.376 1.0121 23.0675 24.0796
0.377 1.0174 23.0622 24.0796
0.378 1.02271 23.0569 24.0796
0.379 1.02803 23.0515 24.0796
0.38 1.03337 23.0462 24.0796
0.381 1.03873 23.0408 24.0796
0.382 1.04409 23.0355 24.0796
0.383 1.04947 23.0301 24.0796
0.384 1.05486 23.0247 24.0796
0.385 1.06027 23.0193 24.0796
0.386 1.06568 23.0139 24.0796
0.387 1.07112 23.0085 24.0796
0.388 1.07656 23.003 24.0796
0.389 1.08202 22.9976 24.0796
0.39 1.08749 22.9921 24.0796
0.391 1.09297 22.9866 24.0796
0.392 1.09847 22.9811 24.0796
0.393 1.10398 22.9756 24.0796
0.394 1.1095 22.9701 24.0796
0.395 1.11504 22.9645 24.0796
0.396 1.12059 22.959 24.0796
0.397 1.12615 22.9534 24.0796
0.398 1.13173 22.9478 24.0796
0.399 1.13731 22.9423 24.0796
0.4 1.14292 22.9367 24.0796
0.401 1.14853 22.931 24.0796
0.402 1.15416 22.9254 24.0796
0.403 1.1598 22.9198 24.0796
0.404 1.16545 22.9141 24.0796
0.405 1.17112 22.9084 24.0796
0.406 1.1768 22.9028 24.0796
0.407 1.18249 22.8971 24.0796
0.408 1.1882 22.8914 24.0796
0.409 1.19392 22.8856 24.0796
0.41 1.19965 22.8799 24.0796
0.411 1.2054 22.8742 24.0796
0.412 1.21116 22.8684 24.0796
0.413 1.21693 22.8626 24.0796
0.414 1.22271 22.8569 24.0796
0.415 1.22851 22.8511 24.0796
0.416 1.23432 22.8453 24.0796
0.417 1.24014 22.8394 24.0796
0.418 1.24598 22.8336 24.0796
0.419 1.25183 22.8277 24.0796
0.42 1.25769 22.8219 24.0796
0.421 1.26356 22.816 24.0796
0.422 1.26945 22.8101 24.0796
0.423 1.27535 22.8042 24.0796
0.424 1.28126 22.7983 24.0796
0.425 1.28719 22.7924 24.0796
0.426 1.29313 22.7864 24.0796
0.427 1.29908 22.7805 24.0796
0.428 1.30505 22.7745 24.0796
0.429 1.31103 22.7685 24.0796
0.43 1.31702 22.7626 24.0796
0.431 1.32302 22.7565 24.0796
0.432 1.32904 22.7505 24.0796
0.433 1.33507 22.7445 24.0796
0.434 1.34111 22.7385 24.0796
0.435 1.34717 22.7324 24.0796
0.436 1.35323 22.7263 24.0796
0.437 1.35931 22.7203 24.0796
0.438 1.36541 22.7142 24.0796
0.439 1.37151 22.7081 24.0796
0.44 1.37763 22.7019 24.0796
0.441 1.38377 22.6958 24.0796
0.442 1.38991 22.6897 24.0796
0.443 1.39607 22.6835 24.0796
0.444 1.40224 22.6773 24.0796
0.445 1.40842 22.6711 24.0796
0.446 1.41462 22.665 24.0796
0.447 1.42083 22.6587 24.0796
0.448 1.42705 22.6525 24.0796
0.449 1.43328 22.6463 24.0796
0.45 1.43953 22.64 24.0796
0.451 1.44579 22.6338 24.0796
0.452 1.45206 22.6275 24.0796
0.453 1.45835 22.6212 24.0796
0.454 1.46464 22.6149 24.0796
0.455 1.47095 22.6086 24.0796
0.456 1.47728 22.6023 24.0796
0.457 1.48361 22.596 24.0796
0.458 1.48996 22.5896 24.0796
0.459 1.49632 22.5832 24.0796
0.46 1.5027 22.5769 24.0796
0.461 1.50908 22.5705 24.0796
0.462 1.51548 22.5641 24.0796
0.463 1.52189 22.5577 24.0796
0.464 1.52832 22.5513 24.0796
0.465 1.53475 22.5448 24.0796
0.466 1.5412 22.5384 24.0796
0.467 1.54767 22.5319 24.0796
0.468 1.55414 22.5254 24.0796
0.469 1.56063 22.5189 24.0796
0.47 1.56713 22.5124 24.0796
0.471 1.57364 22.5059 24.0796
0.472 1.58016 22.4994 24.0796
0.473 1.5867 22.4929 24.0796
0.474 1.59325 22.4863 24.0796
0.475 1.59981 22.4798 24.0796
0.476 1.60639 22.4732 24.0796
0.477 1.61298 22.4666 24.0796
0.478 1.61958 22.46 24.0796
0.479 1.62619 22.4534 24.0796
0.48 1.63281 22.4468 24.0796
0.481 1.63945 22.4401 24.0796
0.482 1.6461 22.4335 24.0796
0.483 1.65276 22.4268 24.0796
0.484 1.65944 22.4201 24.0796
0.485 1.66613 22.4134 24.0796
0.486 1.67283 22.4067 24.0796
0.487 1.67954 22.4 24.0796
0.488 1.68626 22.3933 24.0796
0.489 1.693 22.3866 24.0796
0.49 1.69975 22.3798 24.0796
0.491 1.70651 22.3731 24.0796
0.492 1.71329 22.3663 24.0796
0.493 1.72007 22.3595 24.0796
0.494 1.72687 22.3527 24.0796
0.495 1.73368 22.3459 24.0796
0.496 1.74051 22.3391 24.0796
0.497 1.74734 22.3322 24.0796
0.498 1.75419 22.3254 24.0796
0.499 1.76105 22.3185 24.0796
0.5 1.76793 22.3116 24.0796
0.501 1.77481 22.3048 24.0796
0.502 1.78171 22.2979 24.0796
0.503 1.78862 22.2909 24.0796
0.504 1.79554 22.284 24.0796
0.505 1.80248 22.2771 24.0796
0.506 1.80942 22.2701 24.0796
0.507 1.81638 22.2632 24.0796
0.508 1.82336 22.2562 24.0796
0.509 1.83034 22.2492 24.0796
0.51 1.83734 22.2422 24.0796
0.511 1.84434 22.2352 24.0796
0.512 1.85136 22.2282 24.0796
0.513 1.8584 22.2212 24.0796
0.514 1.86544 22.2141 24.0796
0.515 1.8725 22.2071 24.0796
0.516 1.87957 22.2 24.0796
0.517 1.88665 22.1929 24.0796
0.518 1.89374 22.1858 24.0796
0.519 1.90085 22.1787 24.0796
0.52 1.90797 22.1716 24.0796
0.521 1.9151 22.1645 24.0796
0.522 1.92224 22.1573 24.0796
0.523 1.9294 22.1502 24.0796
0.524 1.93656 22.143 24.0796
0.525 1.94374 22.1358 24.0796
0.526 1.95093 22.1286 24.0796
0.527 1.95813 22.1214 24.0796
0.528 1.96535 22.1142 24.0796
0.529 1.97258 22.107 24.0796
